County,FIPS,Value (Percent),People (Unemployed),Rank within US (of 3143 counties)
Imperial County,6025,13.2,9205,"3,111"
Madera County,6039,11.1,7492,"3,077"
Merced County,6047,10.7,13272,"3,058"
Lake County,6033,10.4,2948,"3,047"
Humboldt County,6023,9.2,6162,"2,990"
Kings County,6031,9.2,5352,"2,984"
Mendocino County,6045,9.1,3811,"2,974"
Tulare County,6107,9,18919,"2,971"
Fresno County,6019,8.6,39943,"2,930"
Kern County,6029,8.4,32872,"2,910"
Tuolumne County,6109,8.3,1895,"2,904"
Stanislaus County,6099,8.2,21061,"2,884"
Plumas County,6063,8,667,"2,869"
Lassen County,6035,7.9,777,"2,861"
Glenn County,6021,7.7,1040,"2,834"
Modoc County,6049,7.6,264,"2,826"
Sutter County,6101,7.6,3483,"2,823"
Siskiyou County,6093,7.4,1337,"2,781"
Yuba County,6115,7.4,2538,"2,778"
Tehama County,6103,7.4,2038,"2,770"
Colusa County,6011,7.4,773,"2,768"
Trinity County,6105,7.4,413,"2,767"
San Joaquin County,6077,7.2,26331,"2,731"
San Bernardino County,6071,7.2,73890,"2,716"
Butte County,6007,7.1,7344,"2,707"
Los Angeles County,6037,7,365544,"2,671"
Riverside County,6065,6.7,77625,"2,613"
Shasta County,6089,6.6,5349,"2,559"
San Diego County,6073,6.3,106617,"2,486"
Sacramento County,6067,6.3,50165,"2,468"
Del Norte County,6015,6.3,662,"2,455"
San Benito County,6069,6.2,2127,"2,450"
Mariposa County,6043,6.2,482,"2,444"
Calaveras County,6009,6.2,1150,"2,436"
Santa Barbara County,6083,6,13414,"2,371"
Amador County,6005,6,1016,"2,354"
Santa Cruz County,6087,5.9,8465,"2,318"
Solano County,6095,5.9,13275,"2,294"
Contra Costa County,6013,5.8,35616,"2,276"
Marin County,6041,5.8,7887,"2,235"
Sierra County,6091,5.6,74,"2,163"
Orange County,6059,5.4,90700,"2,019"
San Francisco County,6075,5.4,28177,"2,012"
Ventura County,6111,5.3,22989,"1,983"
Monterey County,6053,5.3,10504,"1,978"
Yolo County,6113,5.3,5740,"1,970"
Sonoma County,6097,5.2,13543,"1,882"
Napa County,6055,5.2,3733,"1,879"
San Luis Obispo County,6079,5,6905,"1,781"
Alameda County,6001,4.9,45290,"1,759"
Inyo County,6027,4.9,426,"1,722"
Alpine County,6003,4.9,33,"1,704"
El Dorado County,6017,4.6,4244,"1,526"
San Mateo County,6081,4.5,19184,"1,489"
Santa Clara County,6085,4.4,46592,"1,421"
Nevada County,6057,4.4,2090,"1,414"
Placer County,6061,4.3,8466,"1,284"
Mono County,6051,1.9,144,205