County,FIPS,Value (Dollars),Rank within US (of 3142 counties)
Trinity County,6105,"47,317","2,704"
Imperial County,6025,"53,847","2,245"
Siskiyou County,6093,"53,898","2,243"
Modoc County,6049,"54,962","2,161"
Lake County,6033,"56,259","2,035"
Humboldt County,6023,"57,881","1,878"
Tehama County,6103,"59,029","1,753"
Lassen County,6035,"59,515","1,704"
Mariposa County,6043,"60,021","1,646"
Sierra County,6091,"61,108","1,554"
Del Norte County,6015,"61,149","1,551"
Mendocino County,6045,"61,335","1,524"
Inyo County,6027,"63,417","1,336"
Kern County,6029,"63,883","1,303"
Glenn County,6021,"64,033","1,287"
Tulare County,6107,"64,474","1,245"
Merced County,6047,"64,772","1,224"
Butte County,6007,"66,085","1,130"
Yuba County,6115,"66,693","1,065"
Fresno County,6019,"67,756",992
Plumas County,6063,"67,885",983
Shasta County,6089,"68,347",944
Kings County,6031,"68,540",930
Colusa County,6011,"69,619",865
Tuolumne County,6109,"70,432",795
Sutter County,6101,"72,654",680
Madera County,6039,"73,543",635
Amador County,6005,"74,853",587
Stanislaus County,6099,"74,872",585
San Bernardino County,6071,"77,423",489
Calaveras County,6009,"77,526",485
Nevada County,6057,"79,395",425
Mono County,6051,"82,038",349
San Joaquin County,6077,"82,837",325
Los Angeles County,6037,"83,411",314
Sacramento County,6067,"84,010",296
Riverside County,6065,"84,505",282
Yolo County,6113,"85,097",274
San Luis Obispo County,6079,"90,158",210
Monterey County,6053,"91,043",203
Santa Barbara County,6083,"92,332",188
San Diego County,6073,"96,974",137
Solano County,6095,"97,037",136
El Dorado County,6017,"99,246",127
Sonoma County,6097,"99,266",125
Alpine County,6003,"101,125",107
Ventura County,6111,"102,141",102
Santa Cruz County,6087,"104,409",89
San Benito County,6069,"104,451",88
Napa County,6055,"105,809",78
Orange County,6059,"109,361",64
Placer County,6061,"109,375",63
Contra Costa County,6013,"120,020",35
Alameda County,6001,"122,488",29
San Francisco County,6075,"136,689",11
Marin County,6041,"142,019",6
San Mateo County,6081,"149,907",4
Santa Clara County,6085,"153,792",3