County,FIPS,Value (Percent),Families (Below Poverty),Rank within US (of 3143 counties)
United States,0,8.8,7151167,N/A
California,6000,8.5,776066,31 of 52
Imperial County,6025,18.1,6323,"2,897"
Kern County,6029,15.5,31925,"2,699"
Madera County,6039,15.5,5291,"2,697"
Merced County,6047,15.5,9749,"2,692"
Fresno County,6019,15.4,35096,"2,690"
Tulare County,6107,15,16505,"2,652"
Kings County,6031,13.5,4539,"2,468"
Lassen County,6035,11.8,699,"2,199"
Glenn County,6021,11.5,792,"2,144"
Mendocino County,6045,11.5,2390,"2,141"
Yuba County,6115,11.3,2188,"2,095"
Tehama County,6103,11.2,1874,"2,051"
Humboldt County,6023,11,3238,"2,021"
Trinity County,6105,10.9,299,"1,985"
San Bernardino County,6071,10.8,54570,"1,981"
Sutter County,6101,10.8,2574,"1,970"
Stanislaus County,6099,10.8,14029,"1,969"
Inyo County,6027,10.7,469,"1,957"
Butte County,6007,10.6,5195,"1,931"
Siskiyou County,6093,10.5,1145,"1,909"
Lake County,6033,10.2,1605,"1,841"
Modoc County,6049,10.2,231,"1,835"
San Joaquin County,6077,10.1,17982,"1,816"
Los Angeles County,6037,10,221497,"1,783"
Del Norte County,6015,9.7,615,"1,720"
Colusa County,6011,9.5,491,"1,663"
Sacramento County,6067,9.3,34602,"1,615"
Mariposa County,6043,9.2,415,"1,586"
Monterey County,6053,9,8597,"1,532"
Mono County,6051,8.8,303,"1,476"
Riverside County,6065,8.6,48075,"1,425"
Sierra County,6091,8.2,59,"1,312"
Calaveras County,6009,8.2,1024,"1,297"
Shasta County,6089,8.2,3714,"1,288"
Yolo County,6113,8,3813,"1,222"
Santa Barbara County,6083,7.3,7093,"1,028"
San Diego County,6073,7,53919,937
Alpine County,6003,6.8,19,872
Orange County,6059,6.8,51081,857
Tuolumne County,6109,6.7,895,830
Nevada County,6057,6.4,1669,738
Solano County,6095,6.2,6829,709
Plumas County,6063,6.2,320,700
Santa Cruz County,6087,6.2,3774,694
San Luis Obispo County,6079,6.1,4130,664
Ventura County,6111,6,11888,639
El Dorado County,6017,5.9,3062,602
San Benito County,6069,5.8,909,579
Contra Costa County,6013,5.7,16650,554
San Francisco County,6075,5.5,9411,518
Alameda County,6001,5.5,21205,505
Napa County,6055,5.3,1763,470
Sonoma County,6097,5,5959,387
Placer County,6061,4.6,4940,307
Amador County,6005,4.3,441,244
Santa Clara County,6085,4.1,18623,208
San Mateo County,6081,3.9,7051,191
Marin County,6041,3.8,2522,180