County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
Lassen County,6035,12.1,2872,"2,943"
Colusa County,6011,14.3,2003,"2,718"
Merced County,6047,14.6,24677,"2,665"
Kings County,6031,14.7,14001,"2,654"
Glenn County,6021,14.9,2747,"2,626"
Tulare County,6107,15.6,43870,"2,510"
Imperial County,6025,15.9,17540,"2,456"
Madera County,6039,17.2,16987,"2,258"
Yuba County,6115,17.4,8957,"2,221"
Del Norte County,6015,17.7,3485,"2,166"
Tehama County,6103,18.2,8174,"2,083"
Lake County,6033,18.2,8914,"2,071"
Stanislaus County,6099,18.2,63887,"2,068"
Kern County,6029,18.3,101371,"2,042"
Trinity County,6105,19.2,2408,"1,879"
San Joaquin County,6077,20.3,100698,"1,673"
Amador County,6005,20.6,6560,"1,635"
Sutter County,6101,20.6,13402,"1,621"
Plumas County,6063,21.2,3227,"1,533"
Calaveras County,6009,21.4,7577,"1,505"
San Benito County,6069,22,9305,"1,427"
Siskiyou County,6093,22,7069,"1,426"
San Bernardino County,6071,22.4,311380,"1,368"
Shasta County,6089,22.8,29327,"1,326"
Fresno County,6019,23.4,146007,"1,243"
Modoc County,6049,23.8,1551,"1,188"
Sierra County,6091,23.9,537,"1,177"
Mendocino County,6045,24,15631,"1,159"
Riverside County,6065,24.1,383446,"1,155"
Tuolumne County,6109,24.4,10283,"1,102"
Monterey County,6053,27.1,75713,853
Solano County,6095,28.2,88182,769
Mariposa County,6043,28.9,3868,718
Inyo County,6027,29,4015,715
Butte County,6007,30.8,42854,610
Humboldt County,6023,31.1,29098,599
Mono County,6051,31.7,3053,567
Sacramento County,6067,32.6,351404,504
Los Angeles County,6037,34.6,2389559,413
Ventura County,6111,34.7,199937,408
Santa Barbara County,6083,35.7,99143,359
Napa County,6055,37.8,37170,296
Sonoma County,6097,37.8,134299,295
El Dorado County,6017,38,53438,289
San Luis Obispo County,6079,38,71967,286
Nevada County,6057,38.8,30662,259
Alpine County,6003,39.6,423,235
San Diego County,6073,41,926681,208
Placer County,6061,42.4,121770,188
Santa Cruz County,6087,42.5,76537,186
Orange County,6059,42.8,939818,180
Yolo County,6113,43.3,55874,171
Contra Costa County,6013,44.5,359755,146
Alameda County,6001,50.9,608135,71
San Mateo County,6081,52.9,289679,56
Santa Clara County,6085,55.3,742172,45
San Francisco County,6075,59.8,406774,23
Marin County,6041,61.1,117100,15